"","Scenario","Time","Replicate","AGB_M","SRR_M","Min_rate_M","Fungi_M","GF_M","Lichen_M","Aesthetic_M","Recreation_M","Fungi_val_M","Carbon_stock_M","Nitrogen_stock_M","Timber_M","Tree_richness_M"
"369","Scenario 2",27,3,89.2729367512302,4.04715169657234,23.7211359607453,1.8439963452185,18.1734424057503,28.0877268559096,3.77106364368385,3.3213936680108,0.438391834158949,59.0654409504269,523.518468640782,127.205898746273,27.4213628697119
"370","Scenario 2",28,1,90.1497374589209,4.0491911922181,23.6910347197551,1.84689487651926,18.1322650654041,28.1238210230972,3.77316024318824,3.32667192924077,0.440134652777523,59.616022865191,523.59716836779,128.44525421318,27.515953469771
"371","Scenario 2",28,2,90.1480058162786,4.04918810064939,23.6910283656984,1.84687707626667,18.1325658229392,28.1236528066146,3.77315179921326,3.32665243320115,0.440140007117296,59.6126339569821,523.616575089983,128.436936255461,27.5770635182835
"372","Scenario 2",28,3,90.1349697014484,4.04915966196105,23.6913434937409,1.84680968187162,18.1335732428932,28.1228374847933,3.77311134368117,3.32654122517794,0.440134582674142,59.6058208516632,523.596811044844,128.352066146654,27.4298655909304
"373","Scenario 2",29,1,91.0284121820174,4.05123776906124,23.6606778427331,1.84976449658427,18.0915935216309,28.1596303707815,3.77524825246469,3.33192221871379,0.441909508348439,60.1706753055937,523.643604701709,129.618363945241,27.4484011754273
"374","Scenario 2",29,2,91.0177369981395,4.05121397222217,23.6609716409531,1.84971586698725,18.0923306983912,28.1590721599414,3.77521787587299,3.33184565157977,0.441898379703567,60.1632079254403,523.674573559841,129.603197693139,27.4217019352819
"375","Scenario 2",29,3,91.0071946931891,4.05119088907961,23.6612324428222,1.84966245850049,18.0931282273768,28.158426647086,3.77518558326198,3.33175740047135,0.441893027361469,60.1576503712333,523.654733876997,129.514753012431,27.4235363669559
"376","Scenario 2",3,1,75.1469801863991,4.01437000703795,24.2007353588029,1.79631588121565,18.8501262849521,27.4901875831054,3.73687092806472,3.23412784705228,0.411296543469104,49.8913574533567,512.391554659109,105.377384603693,27.3135747943872
"377","Scenario 2",3,2,75.1480990419224,4.01437240465611,24.2007113481057,1.79632222263592,18.8500326272232,27.4902672819975,3.73687464218707,3.23413885035554,0.411296436846017,49.89156625689,512.392398845438,105.373746475649,27.0998852393455
"378","Scenario 2",3,3,75.1448001078055,4.01436487927441,24.2008141913403,1.7963094063018,18.8502193874085,27.4901108396123,3.73686603637793,3.23411669560653,0.411291451597963,49.8897000834623,512.390580062944,105.373491474123,27.1927283476205
"379","Scenario 2",30,1,91.5079082697223,4.05236485283503,23.6433910099761,1.85119814992844,18.0716949420029,28.1779085378123,3.77633924398567,3.33465724161457,0.442981386311094,60.5230275425571,523.5972396585,130.692443645565,27.4066265583975
"380","Scenario 2",30,2,91.4829948270766,4.05230713458816,23.6442300002885,1.85111279833702,18.0729466827778,28.1769080550092,3.77627897021108,3.33451334079832,0.442932396779452,60.5087942045869,523.607916746362,130.653893339505,27.4281354871242
"381","Scenario 2",30,3,91.4800325676827,4.05230047911965,23.6443151862531,1.85109997573108,18.073147909348,28.176773815917,3.7762709302188,3.33449614016828,0.442928365912057,60.5064435325416,523.583097146633,130.567499142398,27.395559110431
"382","Scenario 2",31,1,92.4077319469319,4.05445875002621,23.6124397353299,1.85416184628506,18.0296258243115,28.2148459056412,3.7784869019228,3.34006412449971,0.444778586232122,61.0658299194937,523.626571438507,131.8399894889,27.3572620889917
"383","Scenario 2",31,2,92.3970338717811,4.05443472845672,23.6127463706394,1.85411535259318,18.0303268468558,28.2143095901247,3.77845730390151,3.33999007763132,0.444765638442232,61.0579880892351,523.653992279738,131.82082571734,27.422762601937
"384","Scenario 2",31,3,92.3891286101789,4.05441732631081,23.6129484715185,1.85407650307309,18.0309189834983,28.21386310339,3.77843375549954,3.33993032359179,0.44475986276739,61.0530259515571,523.625193441255,131.728753709708,27.4013493070891
"385","Scenario 2",32,1,93.3122194449758,4.05656443110419,23.581262602366,1.85712889498117,17.9875249946701,28.2518202309489,3.78064101199161,3.34548076372757,0.446595843124101,61.6363162873189,523.668726852254,132.992462428878,27.3767714002539
"386","Scenario 2",32,2,93.2763332319035,4.05648231265952,23.5823993634518,1.85699278419481,17.9894985418456,28.2501499524856,3.78054856569582,3.34524215534161,0.446538980168776,61.6165916955017,523.670557806333,132.953356312747,27.4486098311627
"387","Scenario 2",32,3,93.2869208238424,4.05650785689379,23.5819714538378,1.8570159609234,17.9892049881854,28.2504705916665,3.7805695294133,3.34529385682356,0.446569337461041,61.6210455912782,523.643913338318,132.868102448859,27.4293613395698
