Time,EcoregionName,EcoregionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_Leaf,C_FRoot,C_Wood,C_CRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco23, 20, 1475, 0, 5533.7, 11787.2, 5.6, 1.6, 2.1, 3.1, 13.18, 378.1, 0.3, 134.2, 47, 5409.9, 1352.5, 729.2, 268.7, 23, 8, 11.3, 1.5, 106.8, 156.4, 3163.9, 2106.7, 3.6, 0.7, 16, 15.4, 2.2, 3.1, 0.1, 0.3, 0.1, 0.1, 6.1, 16.2, 105.2, 196, 0.1, -0.7, 0.1, -0.1, 3.7, 8.5, -6.9, 0, 3.08, 0.02, 0.01, 0, 0, 0.1, 0, 337.1, 0, 0, 
0, eco24, 21, 914, 0, 6306.8, 15802, 11, 3.1, 4.1, 6.3, 25.29, 419.4, 0.5, 129.3, 45.3, 7301.6, 1825.4, 945.9, 347.8, 31.7, 8.5, 14, 1.8, 123.2, 184.4, 3316.2, 2683, 3.6, 0.7, 21.3, 21, 2.8, 4, 0.2, 0.4, 0.1, 0.1, 5.6, 18.3, 105.6, 210.5, 0.2, -0.8, 0.1, -0.1, 4.8, 11, -8.8, 0, 4.78, 0.03, 0.01, 0, 0, 0.2, 0.1, 366, 0, 0, 
0, eco25, 22, 58, 0, 22273.2, 3382.8, 13.4, 3.8, 5, 7.8, 1.52, 1218.3, 0.5, 24.5, 8.6, 1566.3, 391.6, 201.2, 75.7, 6.6, 2.1, 2.8, 0.3, 438.9, 668.2, 13127.6, 8038.4, 0.7, 0.1, 4.5, 4.3, 0.6, 0.8, 0, 0.1, 0, 0, 44.3, 54.9, 505.3, 601, 0, -0.2, 0, 0, 1.1, 1.8, -1.7, 0, 7.91, 0.03, 0, 0, 0, 0.2, 0.1, 1207.2, 0, 0, 
0, eco26, 23, 10942, 0, 10616.9, 1427.9, 1, 0.3, 0.4, 0.5, 15.61, 384.5, 0, 25.5, 8.9, 646.5, 161.6, 93.1, 29.7, 3.5, 1.1, 1.2, 0.2, 166.2, 289.2, 6000.9, 4160.5, 0.7, 0.1, 1.8, 1.8, 0.3, 0.3, 0, 0, 0, 0, 10.9, 17.4, 149.2, 186.4, 0, -0.1, 0, 0, 0.5, 2.9, -1.9, 0, 0.67, 0.01, 0, 0, 0, 0, 0, 379.5, 0, 0, 
0, eco27, 24, 16979, 0, 13018.3, 1076.2, 0.8, 0.2, 0.3, 0.5, 14.25, 513.3, 0, 19, 6.7, 487.3, 121.8, 70.3, 22.5, 2.5, 0.9, 1, 0.2, 209.8, 364, 7492.9, 4951.6, 0.5, 0.1, 1.4, 1.5, 0.2, 0.3, 0, 0, 0, 0, 13.1, 24.3, 210.4, 247.2, 0, -0.1, 0, 0, 0.4, 2.2, -1.5, 0, 0.6, 0, 0, 0, 0, 0, 0, 509.3, 0, 0, 
0, eco28, 25, 7770, 0, 9614.8, 2010.6, 1.8, 0.5, 0.7, 1, 23.95, 549.1, 0.1, 31, 10.9, 914.7, 228.7, 130, 41.8, 4.6, 1.4, 1.8, 0.3, 166.7, 278.5, 5431.6, 3738.1, 0.8, 0.2, 2.6, 2.7, 0.4, 0.5, 0, 0.1, 0, 0, 15.5, 23.8, 207, 271.7, 0, -0.1, 0, 0, 0.6, 2.3, -1.4, 0, 1.41, 0.01, 0, 0, 0, 0, 0, 542.1, 0, 0, 
0, eco29, 26, 7874, 0, 11488.6, 2269, 3.4, 1, 1.3, 2, 15.5, 564.8, 0.2, 26, 9.1, 1041.1, 260.3, 138.7, 47.3, 4.7, 1.5, 2, 0.3, 212.7, 342.2, 6622.7, 4311.1, 0.7, 0.1, 3, 3.1, 0.4, 0.6, 0, 0.1, 0, 0, 18.1, 25.1, 227.9, 270.2, 0, -0.1, 0, 0, 0.7, 2.3, -1.5, 0, 1.71, 0.01, 0, 0, 0, 0, 0, 556.8, 0, 0, 
0, eco30, 27, 597, 0, 8372.4, 436.1, 5.4, 1.5, 2, 3.1, 2.14, 421.2, 0.3, 4.5, 1.6, 200.7, 50.2, 25.7, 9, 0.9, 0.3, 0.4, 0, 165.7, 249.8, 4920.7, 3036.2, 0.1, 0, 0.6, 0.6, 0.1, 0.1, 0, 0, 0, 0, 16, 18.2, 181, 202.3, 0, 0, 0, 0, 0.1, 0.5, -0.3, 0, 2.88, 0.02, 0.01, 0, 0, 0.1, 0, 419.6, 0, 0, 
1, eco1, 0, 890, 78.7, 5800.5, 4818.3, 227.3, 66.1, 78, 91.9, 58.41, 454.9, 21.3, 149, 52.1, 2118.2, 529.5, 338.3, 95.8, 13.1, 4.3, 3.9, 0.9, 55.8, 148.6, 3039.5, 2556.6, 3.8, 0.9, 5.3, 6, 0.8, 1.1, 0.1, 0.2, 0, 0, 2.4, 16.4, 124.5, 235, 0.1, -0.3, 0, -0.2, 5.9, 8.1, -3.4, 0, 1.7, 1.73, 1.05, 0, 0, 3.3, 0.8, 437, 0.07, 0, 
1, eco2, 1, 3287, 25.7, 12670.1, 5543.6, 227.7, 65.3, 74.7, 100.1, 24.17, 492.2, 13.3, 78.2, 27.4, 2530, 632.5, 322.9, 103.9, 12.3, 2.7, 3.8, 0.5, 201.8, 339.5, 7151.9, 4976.9, 2.3, 0.5, 7.2, 7.5, 0.9, 1.2, 0.1, 0.1, 0, 0, 8, 29.4, 166.1, 244.6, 0.1, -0.2, 0, -0.1, 4.5, 4.9, -4.7, 0, 1.7, 2.39, 0.85, 0, 0, 3.5, 1.1, 472.5, 0.03, 0, 
1, eco3, 2, 1178, 103.5, 5466.7, 12219.4, 435, 124.8, 135.9, 214.4, 28.78, 413.7, 32.2, 130.8, 45.8, 5615.2, 1403.8, 671, 233.6, 18.3, 4.8, 8.3, 0.7, 69.4, 152.5, 3037.1, 2207.6, 3.9, 0.8, 16.1, 16.3, 1.9, 2.7, 0.1, 0.2, 0, 0, 1.9, 17.4, 109.7, 213.8, 0.1, -0.6, 0.1, 0, 6.6, 13.8, -7.8, 0, 1.7, 2.35, 0.6, 0, 0, 6.1, 2.4, 371.9, 0.03, 0, 
1, eco4, 3, 70, -133.4, 17495.7, 11828.1, 476.2, 137.5, 157.3, 217.2, 31.3, 787, 15.8, 243.5, 85.2, 5322.2, 1330.5, 740.4, 226.3, 23, 6.3, 8.1, 1.5, 355.8, 516.4, 9392.9, 7230.6, 6.5, 1.4, 15.4, 15.9, 2.1, 2.7, 0.1, 0.3, 0, 0.1, 9.5, 46.5, 220.1, 435, 0.1, -0.6, 0.1, 0.1, 4.2, 6.2, -5.1, 0, 1.7, 1.7, 0.7, 0, 0, 6.2, 2.4, 743, 0.04, 0, 
1, eco6, 4, 1215, 465.9, 11624.6, 575.2, 33.2, 9.8, 12.3, 11.1, 28.32, 486.6, 27.8, 31.9, 11.2, 238.6, 59.7, 51.8, 10.2, 2.3, 0.5, 0.5, 0.2, 35.8, 287.7, 6502.2, 4798.9, 0.7, 0.2, 0.5, 0.6, 0.1, 0.1, 0, 0, 0, 0, 2.4, 27.6, 190.6, 235.6, 0, 0, 0, 0, 9.7, 8.5, -13.2, 0, 1.7, 3.58, 0.91, 0, 0, 0.4, 0.1, 484.5, 0.03, 0, 
1, eco7, 5, 1261, 348.6, 10630.2, 546.4, 24.6, 7.1, 8.1, 9.9, 29.48, 555.9, 26.6, 9, 3.1, 248.1, 62, 31.5, 9.6, 1.2, 0.4, 0.4, 0, 58.5, 274.1, 6181.2, 4116.5, 0.3, 0.1, 0.8, 0.8, 0.1, 0.1, 0, 0, 0, 0, 5.7, 25.2, 226, 267.4, 0, 0, 0, 0, 10.7, 8.6, -6.3, 0, 1.7, 4.31, 1.19, 0, 0, 0.3, 0.1, 553.9, 0.03, 0, 
1, eco8, 6, 27, 258.1, 8808.5, 3476.6, 142.7, 41.2, 48, 61.3, 10.47, 318.8, 21.3, 54.1, 18.9, 1581.4, 395.4, 199.1, 63.4, 5.6, 2.4, 2.4, 0.2, 65.7, 246.2, 5203.6, 3293, 1.6, 0.3, 4.8, 4.5, 0.6, 0.7, 0, 0.1, 0, 0, 3.3, 21.3, 123.4, 147.7, 0, -0.3, 0, -0.1, 8, 7.5, -9.6, 0, 1.7, 5.07, 0.7, 0, 0, 2.1, 0.8, 306.3, 0.01, 0, 
